Time,Cutting_Produced,Cutting_Resource,Folding_Produced,Folding_Resource,Bonding_Produced,Bonding_Resource,Labeling_Produced,Labeling_Resource,Kanban_Cutting,Kanban_Folding,Kanban_Bonding,Kanban_Labeling
175.02007460594177,0,24,0,76,0,80,22,62,1,1,1,1
176.18456530570984,0,24,0,76,0,80,22,62,1,1,1,1
177.32026624679565,0,24,0,76,0,80,22,62,1,1,1,1
178.46517753601074,0,24,0,76,0,80,22,62,1,1,1,1
179.61704540252686,0,24,0,76,0,80,22,62,1,1,1,1
180.75231170654297,0,24,0,76,0,80,23,61,1,1,1,1
183.05913996696472,0,24,0,76,0,79,23,62,1,1,1,1
184.18139171600342,0,24,0,76,0,79,23,62,1,1,1,1
185.30382776260376,0,24,0,76,0,79,23,62,1,1,1,1
186.42968082427979,0,24,0,76,0,79,24,61,1,1,1,1
187.57593536376953,0,24,0,76,0,79,24,61,1,1,1,1
188.70953512191772,0,24,0,76,0,79,24,61,1,1,1,1
189.86088252067566,0,24,0,76,0,79,24,61,1,1,1,1
190.99711203575134,0,24,0,76,0,79,24,61,1,1,1,1
192.24194765090942,0,24,0,76,0,79,24,61,1,1,1,1
193.43327355384827,0,24,0,76,0,79,24,61,1,1,1,1
194.56624507904053,0,24,0,76,0,79,25,60,1,1,1,1
195.70883655548096,0,24,0,76,0,79,25,60,1,1,1,1
196.83166027069092,0,24,0,76,0,79,25,60,1,1,1,1
197.96486973762512,0,24,0,76,0,79,25,60,1,1,1,1
199.08321571350098,0,24,0,76,0,79,25,60,1,1,1,1
200.2269148826599,0,24,0,76,0,79,25,60,1,1,1,1
201.39846277236938,0,24,0,76,0,79,25,60,1,1,1,1
202.51769948005676,0,24,0,76,0,79,26,59,1,1,1,1
203.64996457099915,0,24,0,75,0,80,26,59,1,1,1,1
204.77792239189148,0,24,0,75,0,79,26,60,1,1,1,1
205.90474700927734,0,24,0,75,0,79,26,60,1,1,1,1
207.02240586280823,0,24,0,75,0,79,26,60,1,1,1,1
208.13883185386658,0,24,0,75,0,79,27,59,1,1,1,1
209.2574520111084,0,24,0,75,0,79,27,59,1,1,1,1
210.44853615760803,0,23,0,76,0,79,27,59,1,1,1,1
211.57192158699036,0,23,0,76,0,79,27,59,1,1,1,1
212.7044084072113,0,23,0,76,0,79,27,59,1,1,1,1
213.86757445335388,0,23,0,76,0,79,27,59,1,1,1,1
215.05427837371826,0,23,0,76,0,79,27,59,1,1,1,1
216.19104290008545,0,23,0,76,0,79,27,59,1,1,1,1
217.311674118042,0,23,0,76,0,79,28,58,1,1,1,1
218.44237542152405,0,23,0,76,0,79,28,58,1,1,1,1
219.57109022140503,0,23,0,76,0,79,28,58,1,1,1,1
220.7057683467865,0,23,0,76,0,79,28,58,1,1,1,1
221.8354012966156,0,23,0,76,0,79,28,58,1,1,1,1
222.9812695980072,0,23,0,76,0,79,28,58,1,1,1,1
224.11182188987732,0,23,0,76,0,79,28,58,1,1,1,1
225.2443881034851,0,23,0,76,0,79,29,57,1,1,1,1
226.36991500854492,0,23,0,76,0,79,29,57,1,1,1,1
227.50852179527283,0,23,0,76,0,78,29,58,1,1,1,1
228.64076280593872,0,23,0,76,0,78,29,58,1,1,1,1
229.76802444458008,0,23,0,76,0,78,29,58,1,1,1,1
230.88592553138733,0,23,0,76,0,78,29,58,1,1,1,1
232.02227997779846,0,23,0,76,0,78,30,57,1,1,1,1
233.14827847480774,0,23,0,76,0,78,30,57,1,1,1,1
234.27803874015808,0,23,0,76,0,78,30,57,1,1,1,1
235.4018256664276,0,23,0,76,0,78,30,57,1,1,1,1
